login,url,number_of_contributions
nathansobo,https://github.com/nathansobo,386
kevinsawicki,https://github.com/kevinsawicki,349
as-cii,https://github.com/as-cii,236
maxbrunsfeld,https://github.com/maxbrunsfeld,226
probablycorey,https://github.com/probablycorey,114
damieng,https://github.com/damieng,79
zcbenz,https://github.com/zcbenz,77
lee-dohm,https://github.com/lee-dohm,72
joshaber,https://github.com/joshaber,64
mcolyer,https://github.com/mcolyer,49
BinaryMuse,https://github.com/BinaryMuse,43
izuzak,https://github.com/izuzak,41
jasonrudolph,https://github.com/jasonrudolph,41
simurai,https://github.com/simurai,40
gjtorikian,https://github.com/gjtorikian,25
kuychaco,https://github.com/kuychaco,23
Caged,https://github.com/Caged,23
smashwilson,https://github.com/smashwilson,23
jonrohan,https://github.com/jonrohan,16
mutle,https://github.com/mutle,15
iolsen,https://github.com/iolsen,9
jbarnette,https://github.com/jbarnette,7
ungb,https://github.com/ungb,6
defunkt,https://github.com/defunkt,4
daviwil,https://github.com/daviwil,3
josh,https://github.com/josh,2
nakajima,https://github.com/nakajima,2
jbjonesjr,https://github.com/jbjonesjr,1
bkeepers,https://github.com/bkeepers,1
maddox,https://github.com/maddox,1
missinformed,https://github.com/missinformed,1
ptoomey3,https://github.com/ptoomey3,1
markostar,https://github.com/markostar,1
leereilly,https://github.com/leereilly,1
zeke,https://github.com/zeke,1
