pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,closed_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
11610,1,0,0,Externals,nitsakh,2018-01-09 23:00:15,6,2,2,0,Test PR for @zcbenz .,21,False,en,0
11599,1,5,0,Externals,johev09,2018-01-08 14:02:31,1,1,1,0,"Tested on OS: Mac OS X 10.12.6

`browserWindow.setVisibleOnAllWorkspaces(boolean)` was not able to show app over Fullscreen app's workspaces. This commit fixes the function to do so. The change is inspired from [Helium](http://heliumfloats.com/) app's [code](https://github.com/JadenGeller/Helium/blob/b35a416376dee7184f788e6ae5736f19890d3ddc/Helium/Helium/HeliumPanelController.swift#L122).",393,True,en,0
11596,15,1,0,Internals,zcbenz,2018-01-08 11:35:31,109,28,12,0,"Backports https://github.com/electron/electron/pull/11589 to 1.8.x.

Refs https://github.com/electron/libchromiumcontent/pull/431.",132,True,en,0
11543,1,2,0,Externals,Amandakita,2017-12-31 10:52:09,1,0,1,0,"function FeaturedPost(a){(function(e){var h={blogURL:"""",MaxPost:5,idcontaint:""#featuredpost"",ImageSize:500,interval:10000,autoplay:false,loadingClass:""loadingxx"",pBlank:""http://3.bp.blogspot.com/-v45kaX-IHKo/VDgZxWv0xUI/AAAAAAAAHAo/QJQf8Dlh3xc/s1600/grey.gif"",MonthNames:[""Jan"",""Feb"",""Mar"",""Apr"",""May"",""Jun"",""Jul"",""Aug"",""Sep"",""Oct"",""Nov"",""Dec""],tagName:false};h=e.extend({},h,a);var g=e(h.idcontaint);var c=h.blogURL;var d=h.MaxPost*200;if(h.blogURL===""""){c=window.location.protocol+""//""+window.location.host}g.html('<div id=""slides""><ul class=""randomnya""></ul></div><div id=""buttons""><a href=""#"" id=""prevx"" title=""prev""></a><a href=""#"" id=""nextx"" title=""next""></a></div>').addClass(h.loadingClass);var f=function(w){var q,k,m,u,x,p,t,v,r,l="""",s=w.feed.entry;for(var o=0;o<s.length;o++){for(var n=0;n<s[o].link.length;n++){if(s[o].link[n].rel==""alternate""){q=s[o].link[n].href;break}}if(""media$thumbnail""in s[o]){u=s[o].media$thumbnail.url.replace(/\/s[0-9]+\-c/g,""/s""+h.ImageSize+""-c"")}else{u=h.pBlank.replace(/\/s[0-9]+(\-c|\/)/,""/s""+h.ImageSize+""$1"")}k=s[o].title.$t;r=s[o].published.$t.substring(0,10);m=s[o].author[0].name.$t;x=r.substring(0,4);p=r.substring(5,7);t=r.substring(8,10);v=h.MonthNames[parseInt(p,10)-1];l+='<li><a target=""_blank"" href=""'+q+'"" title=""'+k+'""><div class=""overlayx""></div><img class=""random"" src=""'+u+'"" title=""'+k+'""><h4>'+k+'</h4></a><div class=""label_text""><span class=""date""><span class=""dd"">'+t+'</span> <span class=""dm"">'+v+'</span> <span class=""dy"">'+x+'</span></span> <span class=""autname"">'+m+""</span></div></li>""}e(""ul"",g).append(l)};var b=function(){var i=""/-/""+h.tagName;if(h.tagName===false){i="""";e.ajax({url:c+""/feeds/posts/default""+i+""?max-results=""+h.MaxPost+""&orderby=published&alt=json-in-script"",success:f,dataType:""jsonp"",cache:true})}else{e.ajax({url:c+""/feeds/posts/default""+i+""?max-results=""+h.MaxPost+""&orderby=published&alt=json-in-script"",success:f,dataType:""jsonp"",cache:true})}(function(){setTimeout(function(){e(""#prevx"").click(function(){e(""#slides li:first"").before(e(""#slides li:last""));return false});e(""#nextx"").click(function(){e(""#slides li:last"").after(e(""#slides li:first""));return false});if(h.autoplay){var k=h.interval;var l=setInterval(""rotate()"",k);e(""#slides li:first"").before(e(""#slides li:last""));e(""#slides"").hover(function(){clearInterval(l)},function(){l=setInterval(""rotate()"",k)});function j(){e(""#nextx"").click()}}g.removeClass(h.loadingClass)},d)})()};e(document).ready(b)})(jQuery)};function rotate(){$('#nextx').click();};document.write('')",2527,False,oc,0
11516,1,1,0,Externals,leethomas,2017-12-25 16:10:13,10,3,3,0,"Addresses: https://github.com/electron/electron/issues/10699

Tested on Linux Mint but don't have access to a Windows box. Would someone be able to verify that this works on Windows as well, please?",200,True,en,0
11477,250,1,0,Internals,ckerr,2017-12-19 15:52:58,3714,2911,303,0,Apply Felix's #11376 bugfix to `1-8-x`,38,False,en,1
11397,5,4,0,Externals,xdjinnx,2017-12-10 20:03:23,73,19,3,0,"I have implemented two new apis for the webview:
- setPermissionRequestHandler
- removePermissionRequestHandler

I implemented these because I were trying to handle a fullscreen event.
I had to dig around in the issue tracker to find that the session setPermissionRequestHandler could be used for this.

I decided to use an event object to allow and deny request because the chrome api already had an implementation of this.
https://developer.chrome.com/apps/tags/webview#event-permissionrequest

## Test instructions
I used this index.html to test blocking and allowing requests.
I also used this to remove the handler after adding it.

Test the fullscreen request by clicking on the fullscreen button.

``` html
<!DOCTYPE html>
<html>
  <head>
    <meta charset=""UTF-8"">
    <title>Hello World!</title>
  </head>
  <body>
    <h1>Hello World!</h1>
    <!-- All of the Node.js APIs are available in this renderer process. -->
    We are using Node.js <script>document.write(process.versions.node)</script>,
    Chromium <script>document.write(process.versions.chrome)</script>,
    and Electron <script>document.write(process.versions.electron)</script>.

    <webview id=""view"" src=""https://en.wikipedia.org/wiki/Cat#/media/File:Cat_poster_1.jpg"" style=""height: 600px;""></webview>

    <script>
      // You can also require other files to run in this process
      require('./renderer.js')

      window.onload = function () {
	      document.getElementById(""view"").setPermissionRequestHandler(function(e) {
		      e.request.allow();
	      })
      }
    </script>
  </body>
</html>

```",1637,False,en,0
11394,1,4,0,Externals,denysdovhan,2017-12-10 16:15:13,1,1,1,0,"Actually `action` works, not `actions`. It killed a lot of my time until I get that it's a mistake in docs. Hope it would help other developers.",144,False,en,0
11360,1,2,0,Externals,CommanderXL,2017-12-06 12:14:01,1,1,1,0,change 'ABI'  ->  'API',23,False,en,0
11338,1,10,0,Externals,lzxb,2017-12-05 01:36:59,1,4,1,0,"```javascript
const callback = () => { }

const event = new Event()

event.addListener(callback)
event.addListener(callback)
event.removeListener(callback)

// Before
// event.listeners = [callback]

// Now
// event.listeners = []
```",248,False,de,0
