pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
11621,1,0,0,Internals,jkleinsc,2018-01-14T04:02:10Z,0,8,1,2,"It appears that the arm build failing with a core dump is a false positive.  Testing the latest arm build from master on a raspberry pi 2, it does not core dump, so I am removing that check from the arm tests.",209,False,en,0
11597,1,0,0,Internals,zcbenz,2018-01-08T12:26:19Z,1,1,1,0,"Backports https://github.com/electron/electron/pull/11589 to 1.8.x.

Refs https://github.com/electron/libchromiumcontent/pull/431.",132,True,en,0
11589,1,1,0,Internals,zcbenz,2018-01-08T07:15:29Z,1,1,1,0,"Refs https://github.com/electron/libchromiumcontent/pull/430.
Close https://github.com/electron/electron/issues/11429.",119,False,en,0
11584,4,0,5,Externals,TiagoDanin,2018-01-12T15:24:48Z,91,93,28,5,"# Summary
- Using HTTPS if available
- Replaced offline URLs
- Replace `electron.atom.io` >> `electronjs.org`
- Fix paths
- Removed double spaces
-----

# ~~WIP~~
I can't get an equivalent reference in:
- https://github.com/TiagoDanin-Forks/electron/blame/df26e51f3decf90d24cccea6ab1f8af19949c707/docs/development/upgrading-node.md#L55
- https://github.com/TiagoDanin-Forks/electron/blame/df26e51f3decf90d24cccea6ab1f8af19949c707/docs/api/app.md#L1080
- https://github.com/TiagoDanin-Forks/electron/blame/df26e51f3decf90d24cccea6ab1f8af19949c707/docs/tutorial/accessibility.md#L9
- https://github.com/TiagoDanin-Forks/electron/blame/df26e51f3decf90d24cccea6ab1f8af19949c707/docs/tutorial/accessibility.md#L33

Suggestions?",737,False,en,0
11574,1,1,0,Externals,deepak1556,2018-01-07T07:54:53Z,1,1,1,1,"Pulls in:
- https://github.com/electron/libchromiumcontent/pull/421
- https://github.com/electron/libchromiumcontent/pull/387
- https://github.com/electron/libchromiumcontent/pull/415
- https://github.com/electron/libchromiumcontent/pull/408",245,False,en,0
11557,1,11,1,Externals,josimi,2018-01-11T16:28:54Z,5,3,1,8,"Fixes issue #11556 

Uses 0-padding and a set width 8 characters of ensure that RGBA hexadecimal colors string representations are unambiguous.

e.g. (A: 00, R: 0, G: 0, B: 255) is now unambiguously printed as `0000FF00`, not `FF00`.

Replaces janky string substring and concatenation based ARGB -> RGBA shifting logic with bitwise operations to fix several bugs.

The previous code resulted in colors with low-alpha or R-channel values being printed incorrectly. For example, previously

(A: 0, R: 0, G: 160, B: 0) (ARGB: 0x0000A000) would be rendered as RGBA `00A0` which is not correct. Meanwhile, (A: 0, R: 0, G: 0, B: 0) would not render at all in RGBA leading to an exception. Please review the previous code's use of string operations to understand why.
  ",774,True,en,0
11547,1,7,0,Externals,deepak1556,2018-01-07T12:15:51Z,13,7,6,5,"This fixes a regression where draggable regions stopped working after chromium 61 upgrade, it is now frame based https://github.com/electron/electron/commit/9b29aa897b501386696c8c076c0150cc28f73f27

For more history on the transition https://bugs.chromium.org/p/chromium/issues/detail?id=304341

Also I am working on the remaining ipc transitions as a part of chromium 63 upgrade https://github.com/electron/electron/pull/11459/commits/35c918dc85f029de1fc8f4098eab216ed8bcc6fd",480,True,en,0
11546,10,4,0,Internals,zcbenz,2018-01-02T07:20:59Z,69,80,12,0,"Close https://github.com/electron/electron/issues/9441.

This PR also removes the `closed` event of `Menu`, since the `callback` parameter already covers its use case and the `closed` event is not requested by any user. ",222,True,en,0
11545,1,8,0,Externals,m1guelpf,2018-01-10T17:19:13Z,1,1,1,9,"TO DO:

- [x] Wait to the next year (100% done, depends on timezone)
- [ ] Merge!

:octocat:",97,True,en,0
11538,1,0,0,Externals,TiagoDanin,2018-01-05T16:43:09Z,1,1,1,7,Issue related [electronjs.org/issues/983](https://github.com/electron/electronjs.org/issues/983),96,False,en,0
