pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
2809,5,0,5,Internals,technoweenie,2018-01-08T20:52:07Z,557,164,27,2,"This is a follow-up to #2806, finally teaching the `tq.TransferQueue` to pass on the refspec to the server.",107,False,en,12
2806,12,0,4,Internals,technoweenie,2018-01-05T01:34:08Z,80,52,5,0,"This started as a rewrite of #2774 against new master (due to lots of conflicts with the progress meter in #2762). However, I decided to keep it scoped to just running multiple transfer queues, leaving the actual refspec-sending stuff to a follow up PR. I think that'll make this easier to review.

* While `commands.uploadContext` is an internal type, I'm trying to use exported functions in `commands`, outside of the actual `uploadContext` type. Also, some functions were moved to the `uploadContext` type, instead of merely accepting one as an argument. There's certainly more to be done with `*uploadContext`, but I'd rather do that in a specific refactor PR.
* `*tq.TransferQueue` now flushes the latest update, but doesn't close the Meter's internal channel. This is so there's only 1 line in the output, instead of 1 per ref. I'm open to having a single meter line per ref, but I think that should come with the upload output changes instead.
* `(*uploadContext) Await()` has been broken up into `CollectErrors(*tq.TransferQueue)` and `ReportErrors()`. This is so `CollectErrors()` can be called after each uploaded ref.",1128,True,en,0
2797,1,0,0,Internals,b4mboo,2017-12-21T03:20:45Z,1,0,1,0,"LFS locking is currently only verified by the client. The server APIs just returned what paths are locked, while the client controls whether you can push or not. This change allows to set `lfs.locksverify` in a *./.lfsconfig* file which LFS will automatically pick up for all users of the repo.

Without defining `lfs.locksverify` as a safe key, the client will output a warning and simply ignore the setting.
",410,True,en,0
2796,7,1,0,Internals,ttaylorr,2018-01-03T23:37:05Z,110,7,3,14,"This pull request adds a new flag to the `git lfs ls-files` command, `--all` to scan for _all_ LFS objects in a repository, not just those at the given reference (or HEAD, by default).

This feature was requested by @emericv in https://github.com/git-lfs/git-lfs/issues/2575:

> There is a way to have the whole LFS object sha256 list from a git repo? (like a git-lfs ls-files, but including modified/deleted objects refs of all branchs/tags).

@technoweenie suggested in https://github.com/git-lfs/git-lfs/issues/2575#issuecomment-328909675 to use `ScanRefWithDeleted`, but I think that `--all` may be sufficient (ignoring reference arguments). That said, it might be worth expanding this to cover:

1. `--all`: the entire repository, ignoring the explicit reference argument.
2. `--deleted`: the entire reference space, showing deleted objects (via `ScanTreeWithDeleted()`). 

EDIT: I implemented the above in c4d5f495.

Closes: https://github.com/git-lfs/git-lfs/issues/2575.

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2575",1048,True,en,1
2795,6,0,0,Internals,ttaylorr,2017-12-19T22:36:05Z,69,11,3,0,"⚠️ This pull request is based upon https://github.com/git-lfs/git-lfs/pull/2794, and an inter-diff is available [here][1].

##

This pull request teaches `git lfs ls-files` to show tracked LFS objects that are present in the index, which may or may not appear in a tree, as was suggested by @aleb in https://github.com/git-lfs/git-lfs/issues/2705:

> Currently `git lfs ls-files` by default lists the files at the current HEAD, but excluding the new files in the staging area. This is inconsistent with the behaviour of `git ls-files` which by default lists also the new files in the staging area.
> 
> It would be nice to fix this inconsistency:

To accomplish this, we print the set intersection of all LFS objects scanned from the tree (using the `gitscanner`'s `ScanTree()` method), and all LFS objects found in the index (using the `gitscanner`'s `ScanIndex()` method). The later adds an amount of computation proportional to the size of the index, with a constant factor of spawning the necessary `git-diff-index(1)` programs.

Making this work required a few other changes:

1. da94a63: always prefer the destination SHA-1 when scanning the results from `git-diff-index(1)`. This behavior was introduced in https://github.com/git-lfs/git-lfs/pull/137 (via: https://github.com/git-lfs/git-lfs/commit/aa8cea0f98ae4bd5c41c7eb2733a27bc78451468), but is unnecessary as far as I can tell (@rubyist, please correct me if I am wrong).
2. 7efde39: prefer results from the cache before taking the diff-index outside of the cache. This ordering makes more sense for both users of `ScanIndex()` (currently: `git lfs fsck`, `git lfs ls-files`).

Finally, we can apply e271768, and include the results from scanning the index as well as the tree to include _all_ LFS objects in the same manner as `git ls-files`.

Closes: https://github.com/git-lfs/git-lfs/issues/2705.

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2705

[1]: https://github.com/git-lfs/git-lfs/compare/c3418c5...4abc433",2003,True,en,1
2794,4,0,0,Internals,ttaylorr,2017-12-19T22:35:26Z,11,18,2,0,"This pull request teaches `git lfs ls-files` how to behave correctly when run in a repository before an initial commit has been made.

Previously, in a repository with no commits (and therefore, no `HEAD` reference), the behavior of `git lfs ls-files` was such:

```
~/D/new-repo $ git init
Initialized empty Git repository in /Users/ttaylorr/Desktop/new-repo/.git/
~/D/new-repo $ git lfs ls-files
Git can't resolve ref: ""HEAD""
```

whereas now, it behaves as follows:

```
~/D/new-repo $ git init
Initialized empty Git repository in /Users/ttaylorr/Desktop/new-repo/.git/
~/D/new-repo $ git lfs ls-files
~/D/new-repo $ 
```

The above behavior was caused by the fact that `git.CurrentRef()` would try to resolve the `HEAD` reference, when it did not in fact exist. To resolve this, we compare the state of the repository against a SHA-1 constant representing the empty tree (see: git/git.go, `git.RefBeforeFirstCommit`).

We can safely fall back to this SHA-1, since the only error in trying to resolve `HEAD` would occur in bare repositories and repositories without any commits.

This change was introduced for two reasons:

1. Parity with Git's `git-ls-files(1)` builtin.
2. In anticipation of supporting https://github.com/git-lfs/git-lfs/issues/2705 (which will allow `git ls-files` to be run on a repository with objects cached, but absent from any tree).

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2705",1432,True,en,1
2793,1,0,0,Internals,ttaylorr,2017-12-19T22:34:29Z,58,1,3,0,"This pull request adds `--include`, `--exclude` flag arguments to the `git-lfs-ls-files(1)` command, as per discussion in https://github.com/git-lfs/git-lfs/issues/2761#issuecomment-347938964:

> > How about `--pattern`, which works with any pattern that `.gitignore` or `.gitattributes` supports?
> 
> @technoweenie I like this -- what about our standard `--include`, `--exclude` (which would allow searching for one or many files/directories)?

Support for this leverages upon the work done by @technoweenie's work in https://github.com/git-lfs/git-lfs/pull/1696, that one can assign a `filepathfilter.Filter` implementation to the `*lfs.GitScanner`'s `Filter` field, and it will emit only tree entires that match the filter's include and exclude rules, as:

```go
s := lfs.NewGitScanner()
s.Filter = filepathfilter.New(...)
```

Closes: https://github.com/git-lfs/git-lfs/issues/2761

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2761",956,True,en,1
2788,7,0,0,Internals,ttaylorr,2017-12-18T19:26:57Z,155,54,7,3,"This pull request fixes `go tool vet` violations found in Git LFS, and runs `go tool vet` on the same list of packages being tested by any invocation of `script/test`.

@technoweenie's comment in https://github.com/git-lfs/git-lfs/issues/2743#issuecomment-346107557 got me thinking:

> [ ... ]
> 
> In fact, what do you think of adding `go vet` to `script/test`? I doubt it passes now, but I'd like to start nudging lfs towards a standard go codebase.

I think that this is a good idea. `go tool vet` provides useful insight on code _correctness_, not style as opposed to `golint`. I think that correctness of this sort is useful information to know about while testing, so let's do both at the same time.

In doing so, this pull request comes in two parts:

1. https://github.com/git-lfs/git-lfs/compare/7e4013d%5E1...a393bb1: fix current correctness violations found by `go tool vet`.
2. 49de92b: refactor `script/test` to:
  - Accept relative package names or subdirectories (`git`, `./git` respectively) as arguments.
  - Correctly run `go tool vet` over the same set of packages.

I think as a future point of discussion, adding `golint` ([source](https://github.com/golang/lint)) would be fruitful (as perhaps a part of `script/lint`, not `script/test`), but I believe that this discussion is out of the current scope.

## 

/cc @git-lfs/core ",1349,True,en,4
2786,1,0,0,Internals,ttaylorr,2017-12-14T17:29:05Z,28,1,2,0,"This pull request fixes an issue pointed out by @hagami in https://github.com/git-lfs/git-lfs/issues/2772: 

> Before execute git lfs migrate import --everything --include=""*.zip"", git log shows below in my repository.
> 
> [ ... ]
> 
> After execute the command, empty line between ""test"" disappeared.

Here's some background: when parsing a commit, the stage of the encoded commit that we are currently parsing is kept track of. This is to differentiate a line beginning with `parent` when present in a header vs. when present in a commit message. To keep track of this, we use the fact that headers are separated from the commit message by a LF character.

Previously, something like this happened:

```go
for scan.Scan() {
	if len(s.Text()) == 0 {
                finishedHeaders = true
                continue
        }

        // ...
}
```

Which has the unfortunate side-effect of `continue`-ing over the parsing step if an empty newline is present in a commit _message.

To fix this, change `if len(s.Text()) == 0` to `if len(s.Text()) == 0 && !finishedHeaders`, such that the only `continue` happens once during the transition from parsing headers to parsing the commit message.

Closes: https://github.com/git-lfs/git-lfs/issues/2772.

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2772",1316,True,en,1
2785,1,0,0,Internals,ttaylorr,2017-12-14T17:28:54Z,75,1,4,0,"This pull request supports `git-rev-list(1)`-style `^`-prefixed refspecs to be passed as arguments to the `git lfs migrate` command(s).

## 

/cc @git-lfs/core ",160,True,en,2
