login,url,number_of_contributions
tombell,https://github.com/tombell,40
michaelansel,https://github.com/michaelansel,19
bhuga,https://github.com/bhuga,11
gr2m,https://github.com/gr2m,11
sdimkov,https://github.com/sdimkov,8
atmos,https://github.com/atmos,7
creatorrr,https://github.com/creatorrr,6
balbeko,https://github.com/balbeko,6
assaf,https://github.com/assaf,5
MichaNice,https://github.com/MichaNice,5
therealklanni,https://github.com/therealklanni,5
jimeh,https://github.com/jimeh,5
timkinnane,https://github.com/timkinnane,5
tricknotes,https://github.com/tricknotes,5
ejfinneran,https://github.com/ejfinneran,5
pescuma,https://github.com/pescuma,5
aroben,https://github.com/aroben,5
markstory,https://github.com/markstory,4
iangreenleaf,https://github.com/iangreenleaf,4
spajus,https://github.com/spajus,4
scboucher,https://github.com/scboucher,4
patcon,https://github.com/patcon,4
adamgross42,https://github.com/adamgross42,4
Vrtak-CZ,https://github.com/Vrtak-CZ,4
OleMchls,https://github.com/OleMchls,3
ferlores,https://github.com/ferlores,3
markpasc,https://github.com/markpasc,3
arttu,https://github.com/arttu,3
pchaigno,https://github.com/pchaigno,3
titanous,https://github.com/titanous,3
unixcharles,https://github.com/unixcharles,3
mose,https://github.com/mose,3
elliotttf,https://github.com/elliotttf,3
dmathieu,https://github.com/dmathieu,3
kashyapp,https://github.com/kashyapp,3
jtc9921,https://github.com/jtc9921,2
Iristyle,https://github.com/Iristyle,2
dtorres,https://github.com/dtorres,2
miyagawa,https://github.com/miyagawa,2
bhardin,https://github.com/bhardin,2
jjasghar,https://github.com/jjasghar,2
wingrunr21,https://github.com/wingrunr21,2
amaltson,https://github.com/amaltson,2
WaleedAshraf,https://github.com/WaleedAshraf,2
russelldavis,https://github.com/russelldavis,2
timclipsham,https://github.com/timclipsham,2
OiNutter,https://github.com/OiNutter,2
afeld,https://github.com/afeld,2
felixdv,https://github.com/felixdv,2
akiomik,https://github.com/akiomik,2
ouadie-lahdioui,https://github.com/ouadie-lahdioui,2
cycomachead,https://github.com/cycomachead,2
MrSaints,https://github.com/MrSaints,2
dancrumb,https://github.com/dancrumb,2
twellspring,https://github.com/twellspring,2
mizzy,https://github.com/mizzy,2
x1a0,https://github.com/x1a0,2
rafaelfranca,https://github.com/rafaelfranca,2
Taytay,https://github.com/Taytay,2
100ideas,https://github.com/100ideas,2
gasolin,https://github.com/gasolin,2
kavu,https://github.com/kavu,2
jasonkarns,https://github.com/jasonkarns,2
cldwalker,https://github.com/cldwalker,2
bartolsthoorn,https://github.com/bartolsthoorn,2
sqweelygig,https://github.com/sqweelygig,2
joshuarubin,https://github.com/joshuarubin,2
nwest,https://github.com/nwest,2
shokai,https://github.com/shokai,2
edsfocci,https://github.com/edsfocci,2
MonicaG,https://github.com/MonicaG,2
jhubert,https://github.com/jhubert,2
cupakromer,https://github.com/cupakromer,2
travisjeffery,https://github.com/travisjeffery,2
mexitek,https://github.com/mexitek,2
sishen,https://github.com/sishen,2
matjaz,https://github.com/matjaz,2
geoffreyanderson,https://github.com/geoffreyanderson,2
mrtazz,https://github.com/mrtazz,2
andyfowler,https://github.com/andyfowler,2
lekansogunle,https://github.com/lekansogunle,2
codec,https://github.com/codec,2
ZachBeta,https://github.com/ZachBeta,2
aqnouch,https://github.com/aqnouch,1
searls,https://github.com/searls,1
knomedia,https://github.com/knomedia,1
futuraprime,https://github.com/futuraprime,1
Hbrinj,https://github.com/Hbrinj,1
JrGoodle,https://github.com/JrGoodle,1
charlie-hadden,https://github.com/charlie-hadden,1
madzak,https://github.com/madzak,1
axeltalmet,https://github.com/axeltalmet,1
Excedrin,https://github.com/Excedrin,1
jlobos,https://github.com/jlobos,1
kch,https://github.com/kch,1
tubbo,https://github.com/tubbo,1
loafoe,https://github.com/loafoe,1
koorgoo,https://github.com/koorgoo,1
Restuta,https://github.com/Restuta,1
igorgue,https://github.com/igorgue,1
philnash,https://github.com/philnash,1
bleonard,https://github.com/bleonard,1
aripollak,https://github.com/aripollak,1
erikzaadi,https://github.com/erikzaadi,1
franc,https://github.com/franc,1
milyh,https://github.com/milyh,1
benodom,https://github.com/benodom,1
smerrill,https://github.com/smerrill,1
l337ch,https://github.com/l337ch,1
alindeman,https://github.com/alindeman,1
rodrigoaguilera,https://github.com/rodrigoaguilera,1
benburkert,https://github.com/benburkert,1
miketwo,https://github.com/miketwo,1
lornajane,https://github.com/lornajane,1
gotchahn,https://github.com/gotchahn,1
vinhlh,https://github.com/vinhlh,1
alexwhitman,https://github.com/alexwhitman,1
thiagogabriel,https://github.com/thiagogabriel,1
kristenmills,https://github.com/kristenmills,1
malditogeek,https://github.com/malditogeek,1
davidkassa,https://github.com/davidkassa,1
brentc,https://github.com/brentc,1
SuriyaaKudoIsc,https://github.com/SuriyaaKudoIsc,1
tuxcanfly,https://github.com/tuxcanfly,1
needcaffeine,https://github.com/needcaffeine,1
Dr--Feelgood,https://github.com/Dr--Feelgood,1
justincampbell,https://github.com/justincampbell,1
cameronmcefee,https://github.com/cameronmcefee,1
jszwedko,https://github.com/jszwedko,1
victorcoder,https://github.com/victorcoder,1
pcarrier,https://github.com/pcarrier,1
pdoconnell-zz,https://github.com/pdoconnell-zz,1
jbosse,https://github.com/jbosse,1
busbyjon,https://github.com/busbyjon,1
ngs,https://github.com/ngs,1
tas50,https://github.com/tas50,1
jonklo,https://github.com/jonklo,1
thiagopnts,https://github.com/thiagopnts,1
arcturial,https://github.com/arcturial,1
lukefx,https://github.com/lukefx,1
pgib,https://github.com/pgib,1
jennifersmith,https://github.com/jennifersmith,1
BrokenEnso,https://github.com/BrokenEnso,1
jspiewak,https://github.com/jspiewak,1
trumbitta,https://github.com/trumbitta,1
jacksonhull,https://github.com/jacksonhull,1
softarn,https://github.com/softarn,1
cozmo,https://github.com/cozmo,1
cjbottaro,https://github.com/cjbottaro,1
phindmarsh,https://github.com/phindmarsh,1
packetmonkey,https://github.com/packetmonkey,1
Sirius-A,https://github.com/Sirius-A,1
pseudomuto,https://github.com/pseudomuto,1
alininja,https://github.com/alininja,1
waydelyle,https://github.com/waydelyle,1
agrieser,https://github.com/agrieser,1
siong1987,https://github.com/siong1987,1
tacoe,https://github.com/tacoe,1
shiwano,https://github.com/shiwano,1
lautis,https://github.com/lautis,1
shaunkawano,https://github.com/shaunkawano,1
denisvm,https://github.com/denisvm,1
